Service,Operation,Request,Result,Quality,HTTP Status,Response Time (ms)
DaData,Direct,"16. 191002, г. Санкт-Петербург, Литейный пр., д. 51",59.937197 30.347785,0,200,434.67
GigaChat,Direct,"16. 191002, г. Санкт-Петербург, Литейный пр., д. 51",59.916667 30.316667,-,200,968.19
Yandex,Direct,"17. 197046, г. Санкт-Петербург, ул. Куйбышева, д. 4",59.954601 30.325085,exact,200,138.77
DaData,Direct,"17. 197046, г. Санкт-Петербург, ул. Куйбышева, д. 4",59.955775 30.329298,2,200,468.89
GigaChat,Direct,"17. 197046, г. Санкт-Петербург, ул. Куйбышева, д. 4",59.935786 30.330417,-,200,669.48
Yandex,Direct,"18. 199034, г. Санкт-Петербург, Университетская наб., д. 7",59.93978 30.299456,number,200,123.73
DaData,Direct,"18. 199034, г. Санкт-Петербург, Университетская наб., д. 7",59.9407562 30.3002204,0,200,477.58
GigaChat,Direct,"18. 199034, г. Санкт-Петербург, Университетская наб., д. 7","59.934695, 30.335098",-,200,696.12
Yandex,Direct,"19. 191124, г. Санкт-Петербург, ул. Чайковского, д. 39",59.946302 30.354343,exact,200,135.9
DaData,Direct,"19. 191124, г. Санкт-Петербург, ул. Чайковского, д. 39",59.946302 30.354343,0,200,631.12
GigaChat,Direct,"19. 191124, г. Санкт-Петербург, ул. Чайковского, д. 39","59.916670, 30.300000",-,200,1159.2
Yandex,Direct,"20. 191014, г. Санкт-Петербург, Литейный пр., д. 60",59.93378 30.348396,exact,200,116.79
DaData,Direct,"20. 191014, г. Санкт-Петербург, Литейный пр., д. 60",59.9338179 30.3484245,0,200,400.26
GigaChat,Direct,"20. 191014, г. Санкт-Петербург, Литейный пр., д. 60",59.916667 30.316667,-,200,965.19
Yandex,Direct,"620014, г. Екатеринбург, ул. 8 Марта, д. 13",56.836401 60.600349,exact,200,126.14
DaData,Direct,"620014, г. Екатеринбург, ул. 8 Марта, д. 13",56.8364135 60.6002825,0,200,637.53
GigaChat,Direct,"620014, г. Екатеринбург, ул. 8 Марта, д. 13","56.840985, 60.612891",-,200,689.97
Yandex,Direct,"630099, г. Новосибирск, Красный проспект, д. 20",55.022969 82.922963,near,200,121.24
DaData,Direct,"630099, г. Новосибирск, Красный проспект, д. 20",55.062889 82.91175,2,200,458.66
GigaChat,Direct,"630099, г. Новосибирск, Красный проспект, д. 20",55.819548 82.941185,-,200,867.88
Yandex,Direct,"420014, г. Казань, ул. Кремлевская, д. 18",55.790853 49.121784,exact,200,101.4
DaData,Direct,"420014, г. Казань, ул. Кремлевская, д. 18",55.7907556 49.1216778,0,200,656.36
GigaChat,Direct,"420014, г. Казань, ул. Кремлевская, д. 18",55.796596 49.121023,-,200,692.97
Yandex,Direct,"603005, г. Нижний Новгород, ул. Большая Покровская, д. 82",56.308975 43.987292,exact,200,138.3
DaData,Direct,"603005, г. Нижний Новгород, ул. Большая Покровская, д. 82",56.3089103 43.9873194,0,200,561.65
GigaChat,Direct,"603005, г. Нижний Новгород, ул. Большая Покровская, д. 82",56.326389 44.008889,-,200,833.08
Yandex,Direct,"443099, г. Самара, ул. Куйбышева, д. 145",53.19427 50.093788,exact,200,150.11
DaData,Direct,"443099, г. Самара, ул. Куйбышева, д. 145",53.194324 50.0936898,0,200,556.9
GigaChat,Direct,"443099, г. Самара, ул. Куйбышева, д. 145","53.219444, 50.183333",-,200,866.36
Yandex,Direct,"454091, г. Челябинск, пр. Ленина, д. 57",55.159866 61.398044,exact,200,159.1
DaData,Direct,"454091, г. Челябинск, пр. Ленина, д. 57",55.1598343 61.3981365,0,200,565.59
GigaChat,Direct,"454091, г. Челябинск, пр. Ленина, д. 57",55.1667 61.4167,-,200,632.53
Yandex,Direct,"644099, г. Омск, ул. Ленина, д. 10",54.986423 73.372919,exact,200,221.54
DaData,Direct,"644099, г. Омск, ул. Ленина, д. 10",54.9864413 73.3728233,0,200,435.81
GigaChat,Direct,"644099, г. Омск, ул. Ленина, д. 10",54.983333 73.383333,-,200,760.49
Yandex,Direct,"344002, г. Ростов-на-Дону, ул. Большая Садовая, д. 47",47.22168 39.712237,exact,200,120.33
DaData,Direct,"344002, г. Ростов-на-Дону, ул. Большая Садовая, д. 47",47.2217159 39.712198,0,200,815.39
GigaChat,Direct,"344002, г. Ростов-на-Дону, ул. Большая Садовая, д. 47","47.204381, 39.683197",-,200,1005.91
Yandex,Direct,"450008, г. Уфа, пр. Октября, д. 72",54.761363 56.013336,exact,200,111.36
DaData,Direct,"450008, г. Уфа, пр. Октября, д. 72",54.761345 56.013339,0,200,533.96
GigaChat,Direct,"450008, г. Уфа, пр. Октября, д. 72",54.798379 55.731211,-,200,1082.97
Yandex,Direct,"660049, г. Красноярск, пр. Мира, д. 53",56.011872 92.873592,exact,200,158.7
DaData,Direct,"660049, г. Красноярск, пр. Мира, д. 53",56.0118986 92.87363,0,200,548.04
GigaChat,Direct,"660049, г. Красноярск, пр. Мира, д. 53",59.816667 92.866667,-,200,959.12
Yandex,Direct,"690091, г. Владивосток, ул. Светланская, д. 20",43.116306 131.881936,exact,200,109.0
DaData,Direct,"690091, г. Владивосток, ул. Светланская, д. 20",43.1163202 131.8821121,0,200,427.77
GigaChat,Direct,"690091, г. Владивосток, ул. Светланская, д. 20",43.104579 131.897817,-,200,852.03
Yandex,Direct,"236006, г. Калининград, Ленинский пр., д. 30",54.711364 20.508215,exact,200,124.07
DaData,Direct,"236006, г. Калининград, Ленинский пр., д. 30",54.711364 20.508215,0,200,579.15
GigaChat,Direct,"236006, г. Калининград, Ленинский пр., д. 30",54.711481 19.946508,-,200,736.05
Yandex,Direct,"664003, г. Иркутск, ул. Ленина, д. 14",52.286839 104.279735,exact,200,148.48
DaData,Direct,"664003, г. Иркутск, ул. Ленина, д. 14",52.286822 104.279714,0,200,661.03
GigaChat,Direct,"664003, г. Иркутск, ул. Ленина, д. 14",52.283333 104.266667,-,200,979.19
Yandex,Direct,"183038, г. Мурманск, пр. Ленина, д. 75",68.972505 33.084116,exact,200,199.17
DaData,Direct,"183038, г. Мурманск, пр. Ленина, д. 75",68.972505 33.084116,0,200,485.14
GigaChat,Direct,"183038, г. Мурманск, пр. Ленина, д. 75",68.955667 33.060389,-,200,579.11
Yandex,Direct,"163060, г. Архангельск, Троицкий пр., д. 49",64.540518 40.513202,exact,200,96.12
DaData,Direct,"163060, г. Архангельск, Троицкий пр., д. 49",64.5405458 40.5131644,0,200,582.86
GigaChat,Direct,"163060, г. Архангельск, Троицкий пр., д. 49","64.513333, 35.383333",-,200,876.38
Yandex,Direct,"150000, г. Ярославль, ул. Кирова, д. 8",57.626342 39.890041,number,200,137.87
DaData,Direct,"150000, г. Ярославль, ул. Кирова, д. 8",57.6262585 39.889879,1,200,767.25
GigaChat,Direct,"150000, г. Ярославль, ул. Кирова, д. 8","57.631585, 40.949713",-,200,607.42
Yandex,Direct,"300041, г. Тула, пр. Ленина, д. 51",54.185662 37.609991,exact,200,150.43
DaData,Direct,"300041, г. Тула, пр. Ленина, д. 51",54.185737 37.6099951,0,200,448.4
GigaChat,Direct,"300041, г. Тула, пр. Ленина, д. 51","54.183333, 38.216667",-,200,1015.28
Yandex,Direct,"305000, г. Курск, Красная площадь, д. 6",51.72996 36.192126,exact,200,123.09
DaData,Direct,"305000, г. Курск, Красная площадь, д. 6",51.7300242 36.1920874,0,200,633.09
GigaChat,Direct,"305000, г. Курск, Красная площадь, д. 6","50.425060, 36.292310",-,200,856.94
Yandex,Direct,"308015, г. Белгород, Гражданский пр., д. 41",50.594242 36.594095,exact,200,102.66
DaData,Direct,"308015, г. Белгород, Гражданский пр., д. 41",50.5942385 36.5940384,0,200,747.78
GigaChat,Direct,"308015, г. Белгород, Гражданский пр., д. 41","50.503333, 36.583333",-,200,848.28
Yandex,Direct,"354000, г. Сочи, Курортный пр., д. 103",43.551599 39.777302,exact,200,87.06
DaData,Direct,"354000, г. Сочи, Курортный пр., д. 103",43.550018 39.775981,1,200,632.59
GigaChat,Direct,"354000, г. Сочи, Курортный пр., д. 103","43.583333, 39.716667",-,200,741.28
Yandex,Direct,"614000, г. Пермь, ул. Ленина, д. 58",58.009992 56.237375,exact,200,157.85
DaData,Direct,"614000, г. Пермь, ул. Ленина, д. 58",58.009992 56.237366,0,200,477.37
GigaChat,Direct,"614000, г. Пермь, ул. Ленина, д. 58",57.998333 56.233333,-,200,943.58
Yandex,Direct,"394036, г. Воронеж, пр. Революции, д. 39",51.666607 39.206557,exact,200,80.14
DaData,Direct,"394036, г. Воронеж, пр. Революции, д. 39",51.6667123 39.2064422,0,200,513.45
GigaChat,Direct,"394036, г. Воронеж, пр. Революции, д. 39",51.679767 39.211581,-,200,873.05
Yandex,Direct,"400066, г. Волгоград, пр. Ленина, д. 33",48.718511 44.530558,exact,200,155.78
DaData,Direct,"400066, г. Волгоград, пр. Ленина, д. 33",48.7184357 44.5305508,0,200,748.27
GigaChat,Direct,"400066, г. Волгоград, пр. Ленина, д. 33",48.726389 44.500000,-,200,857.11
Yandex,Direct,"410031, г. Саратов, ул. Московская, д. 109",51.536122 46.023764,exact,200,125.38
DaData,Direct,"410031, г. Саратов, ул. Московская, д. 109",51.53612 46.023758,0,200,445.83
GigaChat,Direct,"410031, г. Саратов, ул. Московская, д. 109",51.5278 46.0373,-,200,3029.86
Yandex,Direct,"625000, г. Тюмень, ул. Республики, д. 47",57.152018 65.543176,exact,200,102.49
DaData,Direct,"625000, г. Тюмень, ул. Республики, д. 47",57.152014 65.543163,0,200,593.99
GigaChat,Direct,"625000, г. Тюмень, ул. Республики, д. 47",57.649722 65.583333,-,200,4652.39
Yandex,Direct,"445044, г. Тольятти, Южное шоссе, д. 36",53.555689 49.264913,exact,200,134.67
DaData,Direct,"445044, г. Тольятти, Южное шоссе, д. 36",53.5557723 49.2649926,0,200,850.75
GigaChat,Direct,"445044, г. Тольятти, Южное шоссе, д. 36",53.1833 -44.5167,-,200,917.42
Yandex,Direct,"426008, г. Ижевск, ул. Пушкинская, д. 216",56.854547 53.211499,exact,200,118.26
DaData,Direct,"426008, г. Ижевск, ул. Пушкинская, д. 216",56.8545438 53.2115568,0,200,734.29
GigaChat,Direct,"426008, г. Ижевск, ул. Пушкинская, д. 216","56.840745, 53.361407",-,200,999.98
Yandex,Direct,"656043, г. Барнаул, пр. Ленина, д. 54",53.346457 83.779309,exact,200,156.66
DaData,Direct,"656043, г. Барнаул, пр. Ленина, д. 54",53.3465685 83.7792569,0,200,481.23
GigaChat,Direct,"656043, г. Барнаул, пр. Ленина, д. 54",53.314444 -83.794722,-,200,876.34
Yandex,Direct,"644007, г. Омск, ул. Ленина, д. 12",54.9857 73.374015,exact,200,169.93
DaData,Direct,"644007, г. Омск, ул. Ленина, д. 12",54.9857909 73.3740491,0,200,766.1
GigaChat,Direct,"644007, г. Омск, ул. Ленина, д. 12",55.001400 82.918556,-,200,1007.86
Yandex,Direct,"454000, г. Челябинск, ул. Кирова, д. 92",55.164773 61.400227,exact,200,134.08
DaData,Direct,"454000, г. Челябинск, ул. Кирова, д. 92",55.164773 61.40021,0,200,441.68
GigaChat,Direct,"454000, г. Челябинск, ул. Кирова, д. 92",55.166667 61.416667,-,200,950.16
Yandex,Direct,"173025, г. Великий Новгород, ул. Большая Московская, д. 39",58.529595 31.293478,exact,200,141.3
DaData,Direct,"173025, г. Великий Новгород, ул. Большая Московская, д. 39",58.5296301 31.2934211,0,200,747.19
GigaChat,Direct,"173025, г. Великий Новгород, ул. Большая Московская, д. 39",56.841667 29.941667,-,200,1137.16
Yandex,Direct,"180000, г. Псков, Октябрьский пр., д. 36",57.81367 28.347444,exact,200,181.11
DaData,Direct,"180000, г. Псков, Октябрьский пр., д. 36",57.8134577 28.3478706,0,200,559.8
GigaChat,Direct,"180000, г. Псков, Октябрьский пр., д. 36",56.049722 28.383333,-,200,905.64
Yandex,Direct,"214000, г. Смоленск, ул. Большая Советская, д. 11",54.785927 32.054234,exact,200,123.31
DaData,Direct,"214000, г. Смоленск, ул. Большая Советская, д. 11",54.7859266 32.0541465,0,200,545.8
GigaChat,Direct,"214000, г. Смоленск, ул. Большая Советская, д. 11","54.198333, 31.391944",-,200,923.25
Yandex,Direct,"170000, г. Тверь, ул. Советская, д. 12",56.860693 35.902877,exact,200,179.55
DaData,Direct,"170000, г. Тверь, ул. Советская, д. 12",56.8607597 35.9027885,0,200,568.18
GigaChat,Direct,"170000, г. Тверь, ул. Советская, д. 12","56.843333, 33.521944",-,200,906.3
Yandex,Direct,"156000, г. Кострома, ул. Советская, д. 1",57.767145 40.928295,exact,200,163.11
DaData,Direct,"156000, г. Кострома, ул. Советская, д. 1",57.7605736 40.9548918,2,200,689.06
GigaChat,Direct,"156000, г. Кострома, ул. Советская, д. 1",57.333333 40.916667,-,200,1123.15
Yandex,Direct,"600000, г. Владимир, ул. Большая Московская, д. 58",56.12837 40.41021,exact,200,115.66
DaData,Direct,"600000, г. Владимир, ул. Большая Московская, д. 58",56.1282796 40.41012,0,200,818.98
GigaChat,Direct,"600000, г. Владимир, ул. Большая Московская, д. 58",56.101406 40.387617,-,200,771.78
Yandex,Direct,"390000, г. Рязань, ул. Почтовая, д. 49",54.629336 39.742079,exact,200,186.74
DaData,Direct,"390000, г. Рязань, ул. Почтовая, д. 49",54.629336 39.742079,0,200,608.95
GigaChat,Direct,"390000, г. Рязань, ул. Почтовая, д. 49",54.659722 39.733611,-,200,1091.99
Yandex,Direct,"398055, г. Липецк, пр. Победы, д. 29",52.596208 39.568758,number,200,144.8
DaData,Direct,"398055, г. Липецк, пр. Победы, д. 29",52.5968227 39.5675642,0,200,616.82
GigaChat,Direct,"398055, г. Липецк, пр. Победы, д. 29","52.641667, 39.283333",-,200,658.1
Yandex,Direct,"392000, г. Тамбов, ул. Интернациональная, д. 15",52.721841 41.453028,exact,200,163.73
DaData,Direct,"392000, г. Тамбов, ул. Интернациональная, д. 15",52.7218767 41.4530709,0,200,546.77
GigaChat,Direct,"392000, г. Тамбов, ул. Интернациональная, д. 15",52.746286 39.263611,-,200,1075.16
Yandex,Direct,"432071, г. Ульяновск, ул. Гончарова, д. 18",54.313635 48.396386,exact,200,101.76
DaData,Direct,"432071, г. Ульяновск, ул. Гончарова, д. 18",54.3136062 48.3962881,0,200,622.5
GigaChat,Direct,"432071, г. Ульяновск, ул. Гончарова, д. 18",54.2556 -48.4283,-,200,656.49
Yandex,Direct,"385000, г. Майкоп, ул. Краснооктябрьская, д. 29",44.608564 40.104423,exact,200,126.54
DaData,Direct,"385000, г. Майкоп, ул. Краснооктябрьская, д. 29",44.6084848 40.1044887,0,200,445.21
GigaChat,Direct,"385000, г. Майкоп, ул. Краснооктябрьская, д. 29","44.995833, 40.923333",-,200,882.11
Yandex,Direct,"426034, г. Ижевск, ул. Советская, д. 1",56.844707 53.199291,exact,200,180.76
DaData,Direct,"426034, г. Ижевск, ул. Советская, д. 1",56.844707 53.199291,0,200,526.52
GigaChat,Direct,"426034, г. Ижевск, ул. Советская, д. 1","56.833333, 53.166667",-,200,871.82
Yandex,Direct,"667010, г. Кызыл, ул. Ленина, д. 33",51.720074 94.439598,exact,200,374.03
DaData,Direct,"667010, г. Кызыл, ул. Ленина, д. 33",51.7201129 94.4395318,0,200,686.3
GigaChat,Direct,"667010, г. Кызыл, ул. Ленина, д. 33",51.778389 92.833333,-,200,1000.0
Yandex,Direct,"655017, г. Абакан, ул. Ленина, д. 67",53.721642 91.442226,exact,200,239.19
DaData,Direct,"655017, г. Абакан, ул. Ленина, д. 67",53.7215479 91.4422058,0,200,736.81
GigaChat,Direct,"655017, г. Абакан, ул. Ленина, д. 67","52.219444, 92.733333",-,200,876.15
Yandex,Direct,"629008, г. Салехард, ул. Республики, д. 40",66.526521 66.606871,exact,200,131.48
DaData,Direct,"629008, г. Салехард, ул. Республики, д. 40",66.5264178 66.606642,0,200,405.44
GigaChat,Direct,"629008, г. Салехард, ул. Республики, д. 40",66.533333 -62.616667,-,200,806.98
Yandex,Direct,"683031, г. Петропавловск-Камчатский, ул. Ленинская, д. 14",53.011085 158.652783,exact,200,113.63
DaData,Direct,"683031, г. Петропавловск-Камчатский, ул. Ленинская, д. 14",53.0109741 158.6528568,0,200,499.59
GigaChat,Direct,"683031, г. Петропавловск-Камчатский, ул. Ленинская, д. 14","52.566389, 158.627778",-,200,901.83
Yandex,Direct,"693000, г. Южно-Сахалинск, ул. Ленина, д. 174",46.963134 142.727521,exact,200,166.87
DaData,Direct,"693000, г. Южно-Сахалинск, ул. Ленина, д. 174",46.9631253 142.7274316,0,200,516.92
GigaChat,Direct,"693000, г. Южно-Сахалинск, ул. Ленина, д. 174",46.483333 142.433333,-,200,904.38
Yandex,Direct,"685000, г. Магадан, пр. Ленина, д. 2",59.569044 150.80864,number,200,194.07
DaData,Direct,"685000, г. Магадан, пр. Ленина, д. 2",59.5690973 150.8086123,1,200,569.84
GigaChat,Direct,"685000, г. Магадан, пр. Ленина, д. 2","59.823333, 150.916667",-,200,877.47
Yandex,Direct,"689000, г. Анадырь, ул. Отке, д. 28",64.734993 177.51099,exact,200,140.41
DaData,Direct,"689000, г. Анадырь, ул. Отке, д. 28",64.7350925 177.5109876,0,200,583.25
GigaChat,Direct,"689000, г. Анадырь, ул. Отке, д. 28",64.516667 179.833333,-,200,785.68
Yandex,Direct,"249038, г. Обнинск, пр. Ленина, д. 85",55.099778 36.602674,exact,200,206.62
DaData,Direct,"249038, г. Обнинск, пр. Ленина, д. 85",55.099778 36.602674,0,200,616.21
GigaChat,Direct,"249038, г. Обнинск, пр. Ленина, д. 85","54.208333, 36.216667",-,200,921.16
Yandex,Direct,"141070, Московская обл., г. Королев, пр-т Космонавтов, д. 15",55.917844 37.869011,exact,200,129.08
DaData,Direct,"141070, Московская обл., г. Королев, пр-т Космонавтов, д. 15",55.917825 37.868993,0,200,639.25
GigaChat,Direct,"141070, Московская обл., г. Королев, пр-т Космонавтов, д. 15",55.8667 37.6167,-,200,753.58
Yandex,Direct,"141200, Московская обл., г. Пушкино, ул. Московский пр., д. 15",56.010216 37.850434,exact,200,138.6
DaData,Direct,"141200, Московская обл., г. Пушкино, ул. Московский пр., д. 15",56.010123 37.8504139,0,200,765.8
GigaChat,Direct,"141200, Московская обл., г. Пушкино, ул. Московский пр., д. 15",56.073056 38.014722,-,200,650.98
Yandex,Direct,"188640, Ленинградская обл., г. Всеволожск, Колтушское ш., д. 138",60.0212 30.653707,exact,200,146.78
DaData,Direct,"188640, Ленинградская обл., г. Всеволожск, Колтушское ш., д. 138",60.0212396 30.6537152,0,200,757.82
GigaChat,Direct,"188640, Ленинградская обл., г. Всеволожск, Колтушское ш., д. 138","60.054167, 30.433333",-,200,845.45
Yandex,Direct,"188800, Ленинградская обл., г. Выборг, ул. Крепостная, д. 25",60.710901 28.737582,exact,200,116.89
DaData,Direct,"188800, Ленинградская обл., г. Выборг, ул. Крепостная, д. 25",60.7108312 28.7375567,0,200,503.53
GigaChat,Direct,"188800, Ленинградская обл., г. Выборг, ул. Крепостная, д. 25","60.200000, 28.716667",-,200,958.73
Yandex,Direct,"624130, Свердловская обл., г. Новоуральск, ул. Ленина, д. 15",57.255006 60.102988,exact,200,231.93
DaData,Direct,"624130, Свердловская обл., г. Новоуральск, ул. Ленина, д. 15",57.2550735 60.102993,0,200,747.81
GigaChat,Direct,"624130, Свердловская обл., г. Новоуральск, ул. Ленина, д. 15",56.845833 60.916667,-,200,805.29
Yandex,Direct,"456780, Челябинская обл., г. Озерск, пр. Ленина, д. 30",55.769281 60.694367,exact,200,205.95
DaData,Direct,"456780, Челябинская обл., г. Озерск, пр. Ленина, д. 30",55.7692536 60.6943145,0,200,614.21
GigaChat,Direct,"456780, Челябинская обл., г. Озерск, пр. Ленина, д. 30",55.1333 -61.4167,-,200,849.24
Yandex,Direct,"238710, Калининградская обл., г. Советск, ул. Победы, д. 1",55.081375 21.889258,exact,200,143.08
DaData,Direct,"238710, Калининградская обл., г. Советск, ул. Победы, д. 1",55.0814688 21.8892383,0,200,841.7
GigaChat,Direct,"238710, Калининградская обл., г. Советск, ул. Победы, д. 1","54.678333, 20.983333",-,200,1189.22
Yandex,Direct,"692900, Приморский край, г. Уссурийск, ул. Некрасова, д. 66",43.797429 131.953478,exact,200,133.73
DaData,Direct,"692900, Приморский край, г. Уссурийск, ул. Некрасова, д. 66",43.7974872 131.9533744,0,200,608.77
GigaChat,Direct,"692900, Приморский край, г. Уссурийск, ул. Некрасова, д. 66",43.804722 131.883333,-,200,972.88
Yandex,Direct,"683000, Камчатский край, г. Елизово, ул. Ленина, д. 25",53.190219 158.381465,near,200,185.6
DaData,Direct,"683000, Камчатский край, г. Елизово, ул. Ленина, д. 25",53.189897 158.382547,2,200,498.0
GigaChat,Direct,"683000, Камчатский край, г. Елизово, ул. Ленина, д. 25",53.575000 158.533333,-,200,858.19
Yandex,Direct,"416540, Астраханская обл., г. Знаменск, ул. Ленина, д. 7",48.581252 45.737624,exact,200,199.34
DaData,Direct,"416540, Астраханская обл., г. Знаменск, ул. Ленина, д. 7",48.5813281 45.7376178,0,200,473.3
GigaChat,Direct,"416540, Астраханская обл., г. Знаменск, ул. Ленина, д. 7",46.045833 48.333333,-,200,1141.85
Yandex,Direct,"141411, Московская обл., г. Химки, ул. Московская, д. 15",55.889083 37.445518,exact,200,150.58
DaData,Direct,"141411, Московская обл., г. Химки, ул. Московская, д. 15",55.889074 37.445501,0,200,801.89
GigaChat,Direct,"141411, Московская обл., г. Химки, ул. Московская, д. 15","55.816667, 37.575556",-,200,1168.59
Yandex,Direct,"143980, Московская обл., г. Железнодорожный, ул. Советская, д. 9",55.751573 38.012139,exact,200,193.64
DaData,Direct,"143980, Московская обл., г. Железнодорожный, ул. Советская, д. 9",55.7516057 38.0120612,0,200,586.51
GigaChat,Direct,"143980, Московская обл., г. Железнодорожный, ул. Советская, д. 9",55.716667 37.866667,-,200,637.97
Yandex,Direct,"196240, г. Санкт-Петербург, Московский пр., д. 216",59.848809 30.322327,exact,200,110.28
DaData,Direct,"196240, г. Санкт-Петербург, Московский пр., д. 216",59.848805 30.322318,0,200,585.07
GigaChat,Direct,"196240, г. Санкт-Петербург, Московский пр., д. 216",59.876276 30.257837,-,200,876.54
Yandex,Direct,"620026, г. Екатеринбург, ул. Белинского, д. 83",56.823094 60.619079,exact,200,133.85
DaData,Direct,"620026, г. Екатеринбург, ул. Белинского, д. 83",56.82306 60.61916,0,200,444.66
GigaChat,Direct,"620026, г. Екатеринбург, ул. Белинского, д. 83",56.843146 60.622503,-,200,1126.61
Yandex,Direct,"630073, г. Новосибирск, ул. Кирова, д. 44",55.018711 82.937848,exact,200,145.6
