Service,Request,Result,Quality,HTTP Status,Response Time (ms)
DaData,"450008, г. Уфа, пр. Октября, д. 72",,network error: 0,0,2224.26
GigaChat,"450008, г. Уфа, пр. Октября, д. 72","Координаты адреса «450008, г. Уфа, пр. Октября, д. 72» примерно равны:

**latitude:** `54.7996`  
**longitude:** `55.7314`",-,200,509.87
Yandex,"660049, г. Красноярск, пр. Мира, д. 53",56.011872 92.873592,exact,200,194.15
DaData,"660049, г. Красноярск, пр. Мира, д. 53",,network error: 0,0,2212.57
GigaChat,"660049, г. Красноярск, пр. Мира, д. 53","Координаты адреса «660049, г. Красноярск, пр. Мира, д. 53»: **56.0089° N, 92.8617° E**  
Или в формате, запрошенном вами: `latitude longitude`: **56.0089, 92.8617**.",-,200,698.45
Yandex,"690091, г. Владивосток, ул. Светланская, д. 20",43.116306 131.881936,exact,200,148.79
DaData,"690091, г. Владивосток, ул. Светланская, д. 20",,network error: 0,0,2238.68
GigaChat,"690091, г. Владивосток, ул. Светланская, д. 20","Координаты адреса «690091, г. Владивосток, ул. Светланская, д. 20»: **43.1083° N, 131.8947° E**  
Или в указанном тобой формате: `latitude longitude`: **43.1083, 131.8947**.",-,200,913.95
Yandex,"236006, г. Калининград, Ленинский пр., д. 30",54.711364 20.508215,exact,200,126.34
DaData,"236006, г. Калининград, Ленинский пр., д. 30",,network error: 0,0,2255.23
GigaChat,"236006, г. Калининград, Ленинский пр., д. 30","Координаты адреса «236006, г. Калининград, Ленинский пр., д. 30»: **54.7118° N, 19.9497° E**  
То есть в формате `latitude longitude`: **54.7118, 19.9497**.",-,200,812.67
Yandex,"664003, г. Иркутск, ул. Ленина, д. 14",52.286839 104.279735,exact,200,181.98
DaData,"664003, г. Иркутск, ул. Ленина, д. 14",,network error: 0,0,2235.16
GigaChat,"664003, г. Иркутск, ул. Ленина, д. 14","Координаты адреса «664003, г. Иркутск, ул. Ленина, д. 14»: **52.2833° N, 104.2667° E**  
Или в указанном формате: **latitude 52.2833, longitude 104.2667**.",-,200,898.24
Yandex,"183038, г. Мурманск, пр. Ленина, д. 75",68.972505 33.084116,exact,200,211.13
DaData,"183038, г. Мурманск, пр. Ленина, д. 75",,network error: 0,0,2226.48
GigaChat,"183038, г. Мурманск, пр. Ленина, д. 75","Координаты адреса «183038, г. Мурманск, пр. Ленина, д. 75»: **68.9471° N, 33.0583° E**  
Или в формате, запрошенном вами: **latitude 68.9471, longitude 33.0583**.",-,200,714.0
Yandex,"163060, г. Архангельск, Троицкий пр., д. 49",64.540518 40.513202,exact,200,136.22
DaData,"163060, г. Архангельск, Троицкий пр., д. 49",,network error: 0,0,2253.85
GigaChat,"163060, г. Архангельск, Троицкий пр., д. 49","Координаты адреса «163060, г. Архангельск, Троицкий пр., д. 49»: **64.528953, 39.258428**",-,200,445.63
Yandex,"150000, г. Ярославль, ул. Кирова, д. 8",57.626342 39.890041,number,200,158.9
DaData,"150000, г. Ярославль, ул. Кирова, д. 8",,network error: 0,0,2236.79
GigaChat,"150000, г. Ярославль, ул. Кирова, д. 8","Координаты адреса «150000, г. Ярославль, ул. Кирова, д. 8» примерно равны:

**latitude:** `57.6297`  
**longitude:** `40.9564`",-,200,791.96
Yandex,"300041, г. Тула, пр. Ленина, д. 51",54.185662 37.609991,exact,200,184.47
DaData,"300041, г. Тула, пр. Ленина, д. 51",,network error: 0,0,2241.54
GigaChat,"300041, г. Тула, пр. Ленина, д. 51","Координаты адреса «300041, г. Тула, пр. Ленина, д. 51» примерно равны:

**latitude:** 54.1983  
**longitude:** 37.6147",-,200,518.4
Yandex,"305000, г. Курск, Красная площадь, д. 6",51.72996 36.192126,exact,200,132.14
DaData,"305000, г. Курск, Красная площадь, д. 6",,network error: 0,0,2249.89
GigaChat,"305000, г. Курск, Красная площадь, д. 6","Координаты адреса «305000, г. Курск, Красная площадь, д. 6» примерно равны:

**latitude:** 51.7298  
**longitude:** 36.2545",-,200,703.17
Yandex,"308015, г. Белгород, Гражданский пр., д. 41",50.594242 36.594095,exact,200,105.85
DaData,"308015, г. Белгород, Гражданский пр., д. 41",,network error: 0,0,2214.44
GigaChat,"308015, г. Белгород, Гражданский пр., д. 41","Координаты адреса «308015, г. Белгород, Гражданский проспект, дом 41»: **50.5093° N, 36.1867° E**  
Или в указанном формате: `latitude longitude`: **50.5093, 36.1867**.",-,200,625.87
Yandex,"354000, г. Сочи, Курортный пр., д. 103",43.551599 39.777302,exact,200,118.77
DaData,"354000, г. Сочи, Курортный пр., д. 103",,network error: 0,0,2227.85
GigaChat,"354000, г. Сочи, Курортный пр., д. 103","Координаты адреса «354000, г. Сочи, Курортный проспект, д. 103» примерно равны:

**latitude**: 43.5898  
**longitude**: 39.7297",-,200,700.94
Yandex,"614000, г. Пермь, ул. Ленина, д. 58",58.009992 56.237375,exact,200,221.1
DaData,"614000, г. Пермь, ул. Ленина, д. 58",,network error: 0,0,2213.47
GigaChat,"614000, г. Пермь, ул. Ленина, д. 58","Координаты адреса «614000, г. Пермь, ул. Ленина, д. 58»: **57.99899, 56.23295**",-,200,675.59
Yandex,"394036, г. Воронеж, пр. Революции, д. 39",51.666607 39.206557,exact,200,133.4
DaData,"394036, г. Воронеж, пр. Революции, д. 39",,network error: 0,0,2212.73
GigaChat,"394036, г. Воронеж, пр. Революции, д. 39","Координаты адреса «394036, г. Воронеж, пр. Революции, д. 39»: **51.6784° N, 39.2111° E**  
Или в указанном формате: `latitude longitude`: **51.6784, 39.2111**.",-,200,819.78
Yandex,"400066, г. Волгоград, пр. Ленина, д. 33",48.718511 44.530558,exact,200,179.27
DaData,"400066, г. Волгоград, пр. Ленина, д. 33",,network error: 0,0,2250.74
GigaChat,"400066, г. Волгоград, пр. Ленина, д. 33","Координаты адреса «400066, г. Волгоград, пр. Ленина, д. 33»: **48.489722 longitude 44.416389 latitude**",-,200,455.99
Yandex,"410031, г. Саратов, ул. Московская, д. 109",51.536122 46.023764,exact,200,134.56
DaData,"410031, г. Саратов, ул. Московская, д. 109",,network error: 0,0,2231.89
GigaChat,"410031, г. Саратов, ул. Московская, д. 109","Координаты адреса «410031, г. Саратов, ул. Московская, д. 109»: **51.5333° N, 46.0167° E**  
Или в формате, запрошенном тобой: **latitude 51.5333, longitude 46.0167**.",-,200,857.87
Yandex,"625000, г. Тюмень, ул. Республики, д. 47",57.152018 65.543176,exact,200,122.27
DaData,"625000, г. Тюмень, ул. Республики, д. 47",,network error: 0,0,2237.62
GigaChat,"625000, г. Тюмень, ул. Республики, д. 47","Координаты адреса «625000, г. Тюмень, ул. Республики, д. 47»: **56.8519° N, 60.6105° E**  
Или в формате, запрошенном вами: **latitude 56.8519, longitude 60.6105**.",-,200,631.02
Yandex,"445044, г. Тольятти, Южное шоссе, д. 36",53.555689 49.264913,exact,200,112.63
DaData,"445044, г. Тольятти, Южное шоссе, д. 36",,network error: 0,0,2232.79
GigaChat,"445044, г. Тольятти, Южное шоссе, д. 36","Координаты адреса «445044, г. Тольятти, Южное шоссе, д. 36»: **53.31895, 44.53128**",-,200,676.01
Yandex,"426008, г. Ижевск, ул. Пушкинская, д. 216",56.854547 53.211499,exact,200,118.57
DaData,"426008, г. Ижевск, ул. Пушкинская, д. 216",,network error: 0,0,2204.15
GigaChat,"426008, г. Ижевск, ул. Пушкинская, д. 216","Координаты адреса «426008, г. Ижевск, ул. Пушкинская, д. 216»: **57.9983° N, 53.3639° E**  
Или в указанном тобой формате: `latitude longitude`: **57.9983, 53.3639**.",-,200,659.13
Yandex,"656043, г. Барнаул, пр. Ленина, д. 54",53.346457 83.779309,exact,200,200.03
DaData,"656043, г. Барнаул, пр. Ленина, д. 54",,network error: 0,0,2254.71
GigaChat,"656043, г. Барнаул, пр. Ленина, д. 54","Координаты адреса «656043, г. Барнаул, пр. Ленина, д. 54»: **54.9686° N, 83.3547° E**  
Или в формате, запрошенном вами: **latitude 54.9686, longitude 83.3547**.",-,200,640.13
Yandex,"644007, г. Омск, ул. Ленина, д. 12",54.9857 73.374015,exact,200,175.64
DaData,"644007, г. Омск, ул. Ленина, д. 12",,network error: 0,0,2226.13
GigaChat,"644007, г. Омск, ул. Ленина, д. 12","Координаты адреса «644007, г. Омск, ул. Ленина, д. 12» примерно равны:

**latitude:** 55.0018  
**longitude:** 82.9243",-,200,765.74
Yandex,"454000, г. Челябинск, ул. Кирова, д. 92",55.164773 61.400227,exact,200,141.86
DaData,"454000, г. Челябинск, ул. Кирова, д. 92",,network error: 0,0,2221.08
GigaChat,"454000, г. Челябинск, ул. Кирова, д. 92","Координаты адреса «454000, г. Челябинск, ул. Кирова, д. 92» примерно равны:

**latitude**: 55.1833  
**longitude**: 61.4500",-,200,692.4
Yandex,"173025, г. Великий Новгород, ул. Большая Московская, д. 39",58.529595 31.293478,exact,200,144.25
DaData,"173025, г. Великий Новгород, ул. Большая Московская, д. 39",,network error: 0,0,2230.77
GigaChat,"173025, г. Великий Новгород, ул. Большая Московская, д. 39","Координаты адреса «173025, г. Великий Новгород, ул. Большая Московская, д. 39»: **58.5354° N, 30.8448° E**  
То есть в нужном тебе формате: `latitude longitude`: **58.5354 30.8448**.",-,200,621.38
Yandex,"180000, г. Псков, Октябрьский пр., д. 36",57.81367 28.347444,exact,200,148.24
DaData,"180000, г. Псков, Октябрьский пр., д. 36",,network error: 0,0,2263.67
GigaChat,"180000, г. Псков, Октябрьский пр., д. 36","Координаты адреса «180000, г. Псков, Октябрьский пр., д. 36»: **56.0296° N, 28.7833° E**  
Или в формате, запрошенном тобой: **latitude 56.0296, longitude 28.7833**.",-,200,861.15
Yandex,"214000, г. Смоленск, ул. Большая Советская, д. 11",54.785927 32.054234,exact,200,122.4
DaData,"214000, г. Смоленск, ул. Большая Советская, д. 11",,network error: 0,0,2198.9
GigaChat,"214000, г. Смоленск, ул. Большая Советская, д. 11","Координаты адреса «214000, г. Смоленск, ул. Большая Советская, д. 11»: **54.2198° N, 32.0539° E**  
Или в указанном формате: **latitude 54.2198, longitude 32.0539**.",-,200,840.97
Yandex,"170000, г. Тверь, ул. Советская, д. 12",56.860693 35.902877,exact,200,223.63
DaData,"170000, г. Тверь, ул. Советская, д. 12",,network error: 0,0,2212.37
GigaChat,"170000, г. Тверь, ул. Советская, д. 12","Координаты адреса «170000, г. Тверь, ул. Советская, д. 12»: **56.8509° N, 35.3681° E**  
Или в указанном формате: **latitude 56.8509, longitude 35.3681**.",-,200,643.66
Yandex,"156000, г. Кострома, ул. Советская, д. 1",57.767145 40.928295,exact,200,215.47
DaData,"156000, г. Кострома, ул. Советская, д. 1",,network error: 0,0,2221.57
GigaChat,"156000, г. Кострома, ул. Советская, д. 1","Координаты адреса «156000, г. Кострома, ул. Советская, д. 1»: **57.2198° N, 40.9472° E**  
Или в указанном формате: **latitude 57.2198, longitude 40.9472**.",-,200,630.54
Yandex,"600000, г. Владимир, ул. Большая Московская, д. 58",56.12837 40.41021,exact,200,149.56
DaData,"600000, г. Владимир, ул. Большая Московская, д. 58",,network error: 0,0,2244.77
GigaChat,"600000, г. Владимир, ул. Большая Московская, д. 58","Координаты адреса «600000, г. Владимир, ул. Большая Московская, д. 58»: **56.1094° N, 40.3989° E**  
Или в указанном формате: `latitude 56.1094 longitude 40.3989`",-,200,819.18
Yandex,"390000, г. Рязань, ул. Почтовая, д. 49",54.629336 39.742079,exact,200,115.14
DaData,"390000, г. Рязань, ул. Почтовая, д. 49",,network error: 0,0,2203.11
GigaChat,"390000, г. Рязань, ул. Почтовая, д. 49","Координаты адреса «390000, г. Рязань, ул. Почтовая, д. 49»: **54.6583° N, 39.4333° E**  
Или в указанном формате: **latitude 54.6583, longitude 39.4333**.",-,200,605.98
Yandex,"398055, г. Липецк, пр. Победы, д. 29",52.596208 39.568758,number,200,160.52
DaData,"398055, г. Липецк, пр. Победы, д. 29",,network error: 0,0,2237.84
GigaChat,"398055, г. Липецк, пр. Победы, д. 29","Координаты адреса «398055, г. Липецк, пр. Победы, д. 29»: **52.5456° N, 39.2833° E**  
Или в нужном тебе формате: **latitude 52.5456, longitude 39.2833**.",-,200,637.0
Yandex,"392000, г. Тамбов, ул. Интернациональная, д. 15",52.721841 41.453028,exact,200,137.85
DaData,"392000, г. Тамбов, ул. Интернациональная, д. 15",,network error: 0,0,2229.54
GigaChat,"392000, г. Тамбов, ул. Интернациональная, д. 15","Координаты адреса «392000, г. Тамбов, ул. Интернациональная, д. 15»: **52.6381° N, 40.1736° E**  
Или в указанном тобой формате: **latitude 52.6381, longitude 40.1736**.",-,200,637.74
Yandex,"432071, г. Ульяновск, ул. Гончарова, д. 18",54.313635 48.396386,exact,200,102.64
DaData,"432071, г. Ульяновск, ул. Гончарова, д. 18",,network error: 0,0,2269.48
GigaChat,"432071, г. Ульяновск, ул. Гончарова, д. 18","Координаты адреса «432071, г. Ульяновск, ул. Гончарова, д. 18»: **54.29306, 48.65972**  
(широта latitude: 54.29306, долгота longitude: 48.65972)",-,200,632.27
Yandex,"385000, г. Майкоп, ул. Краснооктябрьская, д. 29",44.608564 40.104423,exact,200,115.9
DaData,"385000, г. Майкоп, ул. Краснооктябрьская, д. 29",,network error: 0,0,2172.81
GigaChat,"385000, г. Майкоп, ул. Краснооктябрьская, д. 29","Координаты адреса «385000, г. Майкоп, ул. Краснооктябрьская, д. 29»: **44.9984° N, 40.9767° E**  
Или в указанном формате: **latitude 44.9984, longitude 40.9767**.",-,200,661.22
Yandex,"426034, г. Ижевск, ул. Советская, д. 1",56.844707 53.199291,exact,200,282.93
DaData,"426034, г. Ижевск, ул. Советская, д. 1",,network error: 0,0,2229.77
GigaChat,"426034, г. Ижевск, ул. Советская, д. 1","Координаты адреса «426034, г. Ижевск, ул. Советская, д. 1» примерно равны:

**latitude:** `56.8493`  
**longitude:** `53.1948`",-,200,509.47
Yandex,"667010, г. Кызыл, ул. Ленина, д. 33",51.720074 94.439598,exact,200,204.99
DaData,"667010, г. Кызыл, ул. Ленина, д. 33",,network error: 0,0,2285.32
GigaChat,"667010, г. Кызыл, ул. Ленина, д. 33","Координаты адреса «667010, г. Кызыл, ул. Ленина, д. 33»: **52.9833° N, 92.8167° E**  
latitude: 52.9833  
longitude: 92.8167",-,200,570.08
Yandex,"655017, г. Абакан, ул. Ленина, д. 67",53.721642 91.442226,exact,200,221.72
DaData,"655017, г. Абакан, ул. Ленина, д. 67",,network error: 0,0,2233.3
GigaChat,"655017, г. Абакан, ул. Ленина, д. 67","Координаты адреса «655017, г. Абакан, ул. Ленина, д. 67»: **52.6398° N, 92.7414° E**  
Или в указанном формате: **latitude 52.6398, longitude 92.7414**.",-,200,662.87
Yandex,"629008, г. Салехард, ул. Республики, д. 40",66.526521 66.606871,exact,200,162.91
DaData,"629008, г. Салехард, ул. Республики, д. 40",,network error: 0,0,2223.21
GigaChat,"629008, г. Салехард, ул. Республики, д. 40","Координаты адреса «629008, г. Салехард, ул. Республики, д. 40»: **66.5333° N, 66.2333° E**  
Или в нужном тебе формате: **latitude 66.5333, longitude 66.2333**.",-,200,644.08
Yandex,"683031, г. Петропавловск-Камчатский, ул. Ленинская, д. 14",53.011085 158.652783,exact,200,148.85
DaData,"683031, г. Петропавловск-Камчатский, ул. Ленинская, д. 14",,network error: 0,0,2233.67
GigaChat,"683031, г. Петропавловск-Камчатский, ул. Ленинская, д. 14","Координаты адреса «683031, г. Петропавловск-Камчатский, ул. Ленинская, д. 14»: **53.0198° N, 158.6833° E**  
Или в указанном формате: **latitude 53.0198, longitude 158.6833**.",-,200,886.14
Yandex,"693000, г. Южно-Сахалинск, ул. Ленина, д. 174",46.963134 142.727521,exact,200,242.37
DaData,"693000, г. Южно-Сахалинск, ул. Ленина, д. 174",,network error: 0,0,2218.93
GigaChat,"693000, г. Южно-Сахалинск, ул. Ленина, д. 174","Координаты адреса «693000, г. Южно-Сахалинск, ул. Ленина, д. 174»: **53.1781° N, 142.5578° E**  
Или в формате, запрошенном вами: **latitude 53.1781, longitude 142.5578**.",-,200,901.78
Yandex,"685000, г. Магадан, пр. Ленина, д. 2",59.569044 150.80864,number,200,161.18
DaData,"685000, г. Магадан, пр. Ленина, д. 2",,network error: 0,0,2206.21
